string;en;de
DOCUMENT_NUMBER;Document number;Ausweisnummer
MACHINE_READABLE_ZONE;Complete machine readable zone (MRZ);Gesamter maschinenlesbarer Bereich (MRZ)
PHOTO;Photo;Foto
SURNAME;Surname;Name
GIVEN_NAME;Given names;Vornamen
NAME_AT_BIRTH;Name at birth;Geburtsname
RELIGIOUS_NAME_OR_PSEUDONYM;Religious name or pseudonym;Ordens- oder Künstlername
ADDRESS;Address;Anschrift
SIGNATURE;Signature;Unterschrift
DATE_OF_BIRTH;Date of birth;Geburtstag
PLACE_OF_BIRTH;Location of birth;Geburtsort
COLOUR_OF_EYES;Colour of eyes;Augenfarbe
HEIGHT;Height;Größe
NATIONALITY;Nationality;Staatsangehörigkeit
AUTHORITY;Authority;Behörde
CAN;Access number (CAN);Zugangsnummer (CAN)
REMARKS;Remarks;Anmerkungen
DATE;Date;Datum
DATE_OF_EXPIRY;Date of expiry;Gültig bis
SEX;Sex;Geschlecht
FRONT;Front;Vorderseite
BACK;Back;Rückseite
NPA_2021;1. New German Identity Card with EU-symbol (after 2nd August 2021);1. Neuer Personalausweis mit EU-Logo (ab 2. August 2021)
NPA_2019;2. New German Identity Card (19th December 2021 to 1st August 2022) ;2. Neuer Personalausweis (19. Dezember 2019 - 1. August 2021)
NPA_2010;3. New German Identity Card (before 18th December 2019) ;3. Neuer Personalausweis (bis 18. Dezember 2019)
REDACT_FIELDS;Fields to redact;Zu schwärzende Felder
NOT_ALL_PRESENT;Not all fields may be present on any selected document type. Unavailable fields will be disabled.;Nicht alle Felder hier zur Auswahl stehenden Felder sind überhaupt auf allen Ausweisdokumententypen enthalten. Nicht verfügbare Felder werden deaktiviert.
COPY_TEXT;COPY COPY COPY<br><br>for AUDIENCE<br>at $today<br>because of PURPOSE<br><br>COPY COPY COPY;KOPIE KOPIE KOPIE<br><br>für EMPFÄNGER<br>am $today<br>zu ZWECK<br><br>KOPIE KOPIE KOPIE
WATERMARK;Watermark;Wasserzeichen
COLOR;Colour;Farbe
GRAYSCALE;Convert document to grayscale;Dokument zu Graustufen umwandeln
TEXT;Text;Text
NOISE;Add random noise;Zufälliges Rauschen hinzufügen
MARK_COPY;Mark copy;Kopie markieren
TRANSPARENCY;Transparency [%];Transparenz [%]
PREVIEW;Preview;Vorschau
CREATE_COPY;Create document copy;Ausweiskopie erstellen
NPA_BACK;1. New German Identity Card;1. Neuer Personalausweis
VORLAEUFIG;4. Temporary German Identity Card;4. Vorläufiger Personalausweis
GERMAN_PASSPORT;5. German biometric Passport (since March 2017);5. Reisepass (ab März 2017)
NO_BACK;3. (No back);3. (Keine Rückseite)
VORLAEUFIG_BACK;2. Temporary German Identity Card;2. Vorläufiger Personalausweis
CH_NIDK_2023;6. Swiss National Identity Card (since 2023);6. Schweizerische Identitätskarte (ab 2023)
CH_NIDK_2023_BACK;4. Swiss National Identity Card (since 2023);4. Schweizerische Identitätskarte (ab 2023)
CH_PLACE_OF_ORIGIN;Place of Origin (Switzerland);Heimatort / Bürgerort (Schweiz)
EDITOR_MENU_FILE;File;Datei
EDITOR_MENU_EDIT;Edit;Bearbeiten
EDITOR_MENU_DEFINE_FIELD;Define Field;Feld definieren
EDITOR_MENU_OPEN_IMAGE;Open Image;Bild öffnen
EDITOR_MENU_IMPORT_LAYOUT;Import Layout from ...;Layout importieren von ...
EDITOR_MENU_EXPORT_LAYOUT;Export Layout to ...;Layout exportieren als ...
EDITOR_MENU_EXIT;Exit;Beenden
EDITOR_MENU_REDEFINE_FIELD;Re-define field as ...;Feld umdefinieren als ...
EDITOR_MENU_DELETE_FIELD;Delete field;Feld löschen
EDITOR_MENU_CLEAR_ALL_FIELDS;Clear all fields;Alle Felder löschen
EDITOR_GROUP_MAIN_FIELD;Field Editor (drag to define field);Feld-Editor (mit Maus ziehen um Feld festzulegen)
EDITOR_GROUP_FIELD_LIST;Defined Fields;Definierte Felder
EDITOR_STATUS_READY;Ready;Bereit
EDITOR_STATUS_LOADED_IMAGE;"Loaded image from ""{filename}""";"Bild geladen von ""{filename}"""
EDITOR_STATUS_LOADED_LAYOUT;Imported layout with {count} fields;Layout mit {count} Feldern importiert
EDITOR_STATUS_EXPORTED_LAYOUT;"Exported layout to ""{outfile}"" as ""{exporter}""";"Layout exportiert nach ""{outfile}"" als ""{exporter}"""
EDITOR_STATUS_DRAG_TO_DEFINE;"Drag to define ""{field}""";"Ziehen, um ""{field}"" zu definieren"
EDITOR_STATUS_DEFINED_FIELD;"Defined ""{field}"" at location ({location}), select another field to define";"Feld ""{field}"" an Position ({location}) definiert, anderes Feld zum Definieren wählen"
EDITOR_STATUS_HIGHLIGHTED_FIELD;"Defined ""{field}"" at location ({location})";"Feld ""{field}"" an Position ({location}) definiert"
EDITOR_STATUS_DELETED_FIELD;"Deleted field ""{field}"" at location ({location})";"Feld ""{field}"" an Position ({location}) gelöscht"
EDITOR_STATUS_CLEARED_FIELDS;Deleted {count} fields;{count} Felder gelöscht
EDITOR_STATUS_NO_FIELD_SELECTED;Please select a field to define first;Bitte erst ein Feld zum Definieren wählen
EDITOR_STATUS_RELEASE_TO_DEFINE_FIELD;"Release to define ""{field}"" at location ({location})";"Maustaste loslassen, um Feld ""{field}"" an Position ({location}) zu definieren"
EDITOR_FORMAT_BASIC_JSON;Basic JSON;Einfaches JSON
EDITOR_FORMAT_PYTHON;Python Snippet;Python-Snippet
EDITOR_MENU_CANCEL_DEFINE;Cancel selection;Auswahl abbrechen
EDITOR_MENU_IMPORT_LAYOUT_FROM_CODE;Import Layout from FieldDefinition ...;Layout aus FieldDefinition importieren ...
APP_NAME;Meine Ausweiskopie;Meine Ausweiskopie
EDITOR;Field Editor - Meine Ausweiskopie;Feldeditor - Meine Ausweiskopie